id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index
401114240,2019,1,regular,2019-08-31T22:30:00.000Z,,FALSE,FALSE,23875,3775,Joan C. Edwards Stadium,276,Marshall,Conference USA,56,"[14, 21, 14, 7]",0.999099249,2678,VMI,,17,"[0, 7, 0, 10]",0.000900751,0.097240795
401114174,2019,1,regular,2019-08-31T22:30:00.000Z,,FALSE,FALSE,44168,3831,California Memorial Stadium,25,California,Pac-12,27,"[0, 13, 7, 7]",0.9927979,302,UC Davis,,13,"[10, 0, 3, 0]",0.0072021,4.362296313
401112073,2019,1,regular,2019-08-31T23:00:00.000Z,,FALSE,FALSE,43013,4727,McLane Stadium,239,Baylor,Big 12,56,"[14, 21, 14, 7]",0.999536339,2617,Stephen F. Austin,,17,"[7, 0, 0, 10]",0.000463661,0.055086184
401114243,2019,1,regular,2019-08-31T23:00:00.000Z,,FALSE,FALSE,31076,3815,M. M. Roberts Stadium,2572,Southern Mississippi,Conference USA,38,"[10, 3, 15, 10]",0.993131482,2016,Alcorn State,,10,"[0, 0, 10, 0]",0.006868518,0.84481589
401119257,2019,1,regular,2019-08-31T23:00:00.000Z,,FALSE,FALSE,14568,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,24,"[3, 0, 7, 14]",0.98059764,2287,Illinois State,,10,"[0, 3, 0, 7]",0.01940236,6.266793571
401117858,2019,1,regular,2019-08-31T23:00:00.000Z,,FALSE,FALSE,22076,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,30,"[7, 2, 14, 7]",0.152770287,2567,SMU,American Athletic,37,"[3, 13, 14, 7]",0.847229713,8.02718481
401119258,2019,1,regular,2019-08-31T23:00:00.000Z,,FALSE,FALSE,15021,3980,Waldo Stadium,2711,Western Michigan,Mid-American,48,"[21, 10, 14, 3]",0.999654379,2405,Monmouth,,13,"[0, 7, 6, 0]",0.000345621,0.381309958
401112106,2019,1,regular,2019-08-31T23:00:00.000Z,,FALSE,FALSE,51189,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,49,"[14, 14, 0, 21]",0.998199864,2447,Nicholls,,14,"[0, 0, 7, 7]",0.001800136,0.438959897
401114242,2019,1,regular,2019-08-31T23:00:00.000Z,,FALSE,FALSE,21944,3918,Foreman Field,295,Old Dominion,Conference USA,24,"[14, 0, 3, 7]",0.973109618,2450,Norfolk State,,21,"[0, 6, 0, 15]",0.026890382,2.9141366
401110728,2019,1,regular,2019-08-31T23:30:00.000Z,,FALSE,FALSE,26037,3984,War Memorial Stadium,2751,Wyoming,Mountain West,37,"[0, 27, 7, 3]",0.044763114,142,Missouri,SEC,31,"[14, 3, 0, 14]",0.955236886,5.62758476
401114241,2019,1,regular,2019-08-31T23:30:00.000Z,,FALSE,FALSE,23057,3825,Apogee Stadium,249,North Texas,Conference USA,51,"[17, 21, 10, 3]",0.983215378,2000,Abilene Christian,,31,"[0, 10, 7, 14]",0.016784622,0.259539119
401112433,2019,1,regular,2019-08-31T23:30:00.000Z,,FALSE,TRUE,47144,3752,Heinz Field,221,Pittsburgh,ACC,14,"[0, 14, 0, 0]",0.008604471,258,Virginia,ACC,30,"[10, 3, 10, 7]",0.991395529,4.721549991
401112222,2019,1,regular,2019-08-31T23:30:00.000Z,,FALSE,FALSE,110811,3558,Michigan Stadium,130,Michigan,Big Ten,40,"[10, 17, 6, 7]",0.997289255,2393,Middle Tennessee,Conference USA,21,"[7, 7, 0, 7]",0.002710745,0.635657455
401110722,2019,1,regular,2019-08-31T23:30:00.000Z,,TRUE,FALSE,60662,3687,AT&T Stadium,2,Auburn,SEC,27,"[3, 3, 7, 14]",0.786916802,2483,Oregon,Pac-12,21,"[14, 0, 7, 0]",0.213083198,7.057061165
401112191,2019,1,regular,2019-08-31T23:30:00.000Z,,FALSE,FALSE,69250,3793,Kinnick Stadium,2294,Iowa,Big Ten,38,"[3, 7, 14, 14]",0.998630342,193,Miami (OH),Mid-American,14,"[0, 7, 0, 7]",0.001369658,1.858998459
401110732,2019,1,regular,2019-08-31T23:30:00.000Z,,FALSE,TRUE,40350,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,6,"[0, 6, 0, 0]",0.030271042,61,Georgia,SEC,30,"[14, 7, 3, 6]",0.969728958,0.829345207
401110725,2019,1,regular,2019-08-31T23:30:00.000Z,,FALSE,FALSE,97420,3958,Tiger Stadium,99,LSU,SEC,55,"[21, 21, 10, 3]",0.999996232,290,Georgia Southern,Sun Belt,3,"[0, 3, 0, 0]",3.77E-06,0.163324283
401112135,2019,1,regular,2019-09-01T00:00:00.000Z,,FALSE,FALSE,93418,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,45,"[7, 17, 14, 7]",0.999857959,2348,Louisiana Tech,Conference USA,14,"[0, 0, 0, 14]",0.000142041,0.738717735
401128468,2019,1,regular,2019-09-01T00:00:00.000Z,,FALSE,FALSE,28327,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,31,"[7, 10, 7, 7]",0.9961822,2755,Grambling,,9,"[6, 3, 0, 0]",0.0038178,0.806248913
401112129,2019,1,regular,2019-09-01T00:00:00.000Z,,FALSE,FALSE,40422,3616,Amon G. Carter Stadium,2628,TCU,Big 12,39,"[10, 6, 13, 10]",0.999182695,2029,Arkansas-Pine Bluff,,7,"[0, 0, 7, 0]",0.000817305,0.056948013
401114244,2019,1,regular,2019-09-01T00:00:00.000Z,,FALSE,FALSE,34646,3946,Sun Bowl Stadium,2638,UTEP,Conference USA,36,"[3, 17, 13, 3]",0.491596372,2277,Houston Baptist,,34,"[0, 17, 11, 6]",0.508403628,6.382522956
401117496,2019,1,regular,2019-09-01T01:00:00.000Z,,FALSE,FALSE,40222,3932,Qualcomm Stadium,21,San Diego State,Mountain West,6,"[0, 3, 0, 3]",0.985714061,2692,Weber State,,0,"[0, 0, 0, 0]",0.014285939,4.579357103
401114228,2019,1,regular,2019-09-01T02:00:00.000Z,,FALSE,FALSE,27228,3820,Martin Stadium,265,Washington State,Pac-12,58,"[14, 21, 13, 10]",0.999960064,166,New Mexico State,FBS Independents,7,"[7, 0, 0, 0]",3.99E-05,0.206438039
401117497,2019,1,regular,2019-09-01T02:00:00.000Z,,FALSE,FALSE,17421,3914,Sam Boyd Stadium,2439,UNLV,Mountain West,56,"[7, 28, 21, 0]",0.999943522,253,Southern Utah,,23,"[0, 7, 0, 16]",5.65E-05,0.723927678
401114218,2019,1,regular,2019-09-01T02:30:00.000Z,,FALSE,FALSE,57329,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,31,"[14, 3, 14, 0]",0.346848859,278,Fresno State,Mountain West,23,"[3, 7, 3, 10]",0.653151141,2.82922511
401112114,2019,1,regular,2019-09-01T23:30:00.000Z,,FALSE,FALSE,84534,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,49,"[7, 14, 21, 7]",0.998544124,248,Houston,American Athletic,31,"[0, 10, 7, 14]",0.001455876,0.820205975
401112436,2019,1,regular,2019-09-03T00:00:00.000Z,,FALSE,FALSE,58187,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,17,"[14, 0, 0, 3]",0.01632308,87,Notre Dame,FBS Independents,35,"[14, 7, 7, 7]",0.98367692,2.837861634
401112437,2019,2,regular,2019-09-07T00:00:00.000Z,,FALSE,FALSE,45250,3923,Scott Stadium,258,Virginia,ACC,52,"[21, 14, 7, 10]",0.999992578,2729,William & Mary,,17,"[0, 3, 7, 7]",7.42E-06,0.137157888
401112447,2019,2,regular,2019-09-07T00:00:00.000Z,,FALSE,FALSE,17567,3895,Rice Stadium,242,Rice,Conference USA,21,"[14, 0, 0, 7]",0.005455548,154,Wake Forest,ACC,41,"[14, 10, 10, 7]",0.994544452,1.452467143
401114251,2019,2,regular,2019-09-07T01:00:00.000Z,,FALSE,FALSE,31951,3653,Albertsons Stadium,68,Boise State,Mountain West,14,"[0, 7, 7, 0]",0.974228025,276,Marshall,Conference USA,7,"[7, 0, 0, 0]",0.025771975,4.739468792
